Table,F_dischrg_year,dischrg_year,F_reslos2,reslos2,Frequency,Percent,CumFrequency,CumPercent
Table dischrg_year * reslos2,2020,2020,211,211,1020,0.03889196,2249387,85.76771586
Table dischrg_year * reslos2,2020,2020,212,212,998,0.038053114,2250385,85.80576897
Table dischrg_year * reslos2,2020,2020,213,213,1017,0.038777572,2251402,85.84454655
Table dischrg_year * reslos2,2020,2020,214,214,1013,0.038625055,2252415,85.8831716
Table dischrg_year * reslos2,2020,2020,215,215,1039,0.039616419,2253454,85.92278802
Table dischrg_year * reslos2,2020,2020,216,216,1047,0.039921453,2254501,85.96270947
Table dischrg_year * reslos2,2020,2020,217,217,1070,0.040798429,2255571,86.0035079
Table dischrg_year * reslos2,2020,2020,218,218,993,0.037862467,2256564,86.04137037
Table dischrg_year * reslos2,2020,2020,219,219,954,0.036375422,2257518,86.07774579
Table dischrg_year * reslos2,2020,2020,220,220,1035,0.039463901,2258553,86.11720969
Table dischrg_year * reslos2,2020,2020,221,221,948,0.036146646,2259501,86.15335634
Table dischrg_year * reslos2,2020,2020,222,222,939,0.035803481,2260440,86.18915982
Table dischrg_year * reslos2,2020,2020,223,223,982,0.037443044,2261422,86.22660286
Table dischrg_year * reslos2,2020,2020,224,224,1013,0.038625055,2262435,86.26522792
Table dischrg_year * reslos2,2020,2020,225,225,981,0.037404915,2263416,86.30263283
Table dischrg_year * reslos2,2020,2020,226,226,930,0.035460317,2264346,86.33809315
Table dischrg_year * reslos2,2020,2020,227,227,908,0.034621471,2265254,86.37271462
Table dischrg_year * reslos2,2020,2020,228,228,933,0.035574705,2266187,86.40828933
Table dischrg_year * reslos2,2020,2020,229,229,896,0.034163918,2267083,86.44245324
Table dischrg_year * reslos2,2020,2020,230,230,931,0.035498446,2268014,86.47795169
Table dischrg_year * reslos2,2020,2020,231,231,966,0.036832974,2268980,86.51478466
Table dischrg_year * reslos2,2020,2020,232,232,908,0.034621471,2269888,86.54940614
Table dischrg_year * reslos2,2020,2020,233,233,894,0.034087659,2270782,86.58349379
Table dischrg_year * reslos2,2020,2020,234,234,857,0.032676873,2271639,86.61617067
Table dischrg_year * reslos2,2020,2020,235,235,880,0.033553848,2272519,86.64972452
Table dischrg_year * reslos2,2020,2020,236,236,859,0.032753131,2273378,86.68247765
Table dischrg_year * reslos2,2020,2020,237,237,900,0.034316436,2274278,86.71679408
Table dischrg_year * reslos2,2020,2020,238,238,933,0.035574705,2275211,86.75236879
Table dischrg_year * reslos2,2020,2020,239,239,940,0.035841611,2276151,86.7882104
Table dischrg_year * reslos2,2020,2020,240,240,832,0.031723638,2276983,86.81993404
Table dischrg_year * reslos2,2020,2020,241,241,828,0.031571121,2277811,86.85150516
Table dischrg_year * reslos2,2020,2020,242,242,841,0.032066803,2278652,86.88357196
Table dischrg_year * reslos2,2020,2020,243,243,823,0.031380474,2279475,86.91495243
Table dischrg_year * reslos2,2020,2020,244,244,892,0.034011401,2280367,86.94896383
Table dischrg_year * reslos2,2020,2020,245,245,918,0.035002764,2281285,86.9839666
Table dischrg_year * reslos2,2020,2020,246,246,878,0.033477589,2282163,87.01744419
Table dischrg_year * reslos2,2020,2020,247,247,792,0.030198463,2282955,87.04764265
Table dischrg_year * reslos2,2020,2020,248,248,870,0.033172554,2283825,87.08081521
Table dischrg_year * reslos2,2020,2020,249,249,814,0.03103731,2284639,87.11185252
Table dischrg_year * reslos2,2020,2020,250,250,795,0.030312852,2285434,87.14216537
Table dischrg_year * reslos2,2020,2020,251,251,909,0.0346596,2286343,87.17682497
Table dischrg_year * reslos2,2020,2020,252,252,906,0.034545212,2287249,87.21137018
Table dischrg_year * reslos2,2020,2020,253,253,805,0.030694145,2288054,87.24206432
Table dischrg_year * reslos2,2020,2020,254,254,794,0.030274722,2288848,87.27233905
Table dischrg_year * reslos2,2020,2020,255,255,804,0.030656016,2289652,87.30299506
Table dischrg_year * reslos2,2020,2020,256,256,819,0.031227956,2290471,87.33422302
Table dischrg_year * reslos2,2020,2020,257,257,783,0.029855299,2291254,87.36407832
Table dischrg_year * reslos2,2020,2020,258,258,822,0.031342345,2292076,87.39542066
Table dischrg_year * reslos2,2020,2020,259,259,862,0.032867519,2292938,87.42828818
